Region,Enrolment Ratio,Primary Completion Rate (Male),Primary Completion Rate (Female)
Africa - Eastern Africa,84,48,48
Africa - Middle Africa,85,19,18
Africa - Northern Africa,90,17,17
Africa - Southern Africa,88,13,17
Africa - Western Africa,73,15,14
Americas - Caribbean,92,29,29
Americas - Central America,93,84,85
Americas - Northern America,91,22,22
Americas - South America,91,43,44
Asia - Central Asia,95,25,24
Asia - Eastern Asia,94,17,17
Asia - South-Eastern Asia,95,45,44
Asia - Southern Asia,84,12,13
Asia - Western Asia,94,6,7
Europe - Eastern Europe,95,79,79
Europe - Northern Europe,98,70,70
Europe - Southern Europe,97,27,27
Europe - Western Europe,98,36,36
Oceania - Australia and New Zealand,98,95,95
Oceania - Melanesia,91,44,46
Oceania - Micronesia,92,14,13
Oceania - Polynesia,92,36,37
